2022-04-14 17:37:58,974 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-04-14 17:38:11,998 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-14 17:38:17,799 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-04-14 17:40:33,091 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-04-14 17:40:43,438 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-14 17:40:47,598 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-04-14 17:42:17,077 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-04-14 17:42:26,522 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-14 17:42:51,716 | MainThread   | [ERROR   ] | _connect            |: disconnected
2022-04-14 17:42:52,746 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-04-14 17:42:52,748 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-04-14 17:42:52,750 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-04-14 17:42:56,880 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=12, releaselevel='final', serial=0)
2022-04-14 17:42:56,880 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-04-14 17:42:58,027 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-14 17:43:04,000 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-04-14 17:44:19,203 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-04-14 17:44:24,850 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-14 17:44:31,895 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-04-14 17:45:29,617 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-04-14 17:45:32,142 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-14 17:45:38,733 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-04-14 17:47:48,892 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-04-14 17:48:09,297 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-14 17:48:13,938 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-04-14 17:50:21,551 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-04-15 00:38:47,130 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-04-15 00:38:47,222 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-04-15 00:38:47,226 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
