2022-03-17 10:52:43,928 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 10:53:11,250 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 10:53:21,988 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 10:54:17,702 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 10:54:44,074 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 10:54:48,788 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 10:55:36,069 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 10:55:41,311 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 10:55:46,164 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 10:56:17,653 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 10:56:20,791 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 10:56:25,640 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 11:05:56,159 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 11:06:22,689 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:06:26,871 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 11:08:27,043 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 11:08:49,775 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:08:53,471 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 11:09:06,104 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 11:13:08,544 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:13:13,199 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 11:13:48,256 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 11:18:48,740 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:18:53,037 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 11:19:08,399 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 11:23:20,889 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:23:43,842 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:23:55,949 | MainThread   | [ERROR   ] | _connect            |: 
2022-03-17 11:23:56,958 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-03-17 11:23:56,959 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:24:09,027 | MainThread   | [ERROR   ] | _connect            |: 
2022-03-17 11:24:10,031 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-03-17 11:24:10,032 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:24:14,769 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 11:28:07,251 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 11:28:48,707 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:28:52,602 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 11:31:17,701 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 11:32:08,450 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:32:12,338 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 11:33:05,845 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 11:33:10,656 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:33:15,534 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 11:47:44,264 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 11:49:28,919 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:49:32,782 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 11:50:34,456 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 11:50:41,704 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:50:45,789 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 11:51:03,345 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 11:51:08,912 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 11:51:12,782 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 12:01:12,994 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 13:13:28,654 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 13:13:32,566 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 13:15:12,320 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 13:16:20,400 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 13:16:25,163 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 13:17:00,749 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
2022-03-17 13:17:07,868 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-17 13:17:11,517 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-03-17 13:28:33,658 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 52193D96-8201-1734-7C37-789D2C19BBD9
